ticker,fiscal_period_end,fiscal_year,company_name,sector,industry,exchange,currency,current_share_price,current_market_cap,current_enterprise_value,current_shares_outstanding,current_shares_short,current_short_ratio,current_short_percent_of_float,current_insider_ownership_percent,current_institutional_ownership_percent,current_book_value_per_share,current_forward_eps,total_revenue,cost_of_revenue,gross_profit,ebit,operating_income,ebitda,normalized_income,pretax_income,tax_provision,tax_rate_for_calcs,net_income,net_income_continuing_operations,selling_general_and_administration,interest_expense,basic_average_shares,diluted_average_shares,basic_eps,diluted_eps,total_assets,current_assets,cash_and_cash_equivalents,cash_and_short_term_investments,accounts_receivable,inventory,net_property_plant_equipment,current_liabilities,current_debt,current_debt_and_capital_lease_obligation,taxes_payable,total_liabilities,total_liabilities_net_minority_interest,total_non_current_liabilities,long_term_debt,long_term_debt_and_capital_lease_obligation,total_debt,preferred_stock,minority_interest,stockholders_equity,common_stock_equity,retained_earnings,working_capital,ordinary_shares_number,operating_cash_flow,capital_expenditure,free_cash_flow,depreciation_and_amortization,change_in_working_capital,issuance_of_capital_stock,repurchase_of_capital_stock,net_common_stock_issuance,stock_based_compensation,cash_dividends_paid,issuance_of_debt,repayment_of_debt,fiscal_price_date,fiscal_period_end_close,fiscal_period_end_adjusted_close
AAPL,2025-09-30,2025,Apple Inc.,Technology,Consumer Electronics,NMS,USD,331.34,4835635625984,4882974638080,14594180000,139749097,2.97,0.0095999995,0.01648,0.66339993,7.36,9.58285,416161000000.0,220960000000.0,195201000000.0,133050000000.0,133050000000.0,144748000000.0,112010000000.0,132729000000.0,20719000000.0,0.156,112010000000.0,112010000000.0,27601000000.0,,14948500000.0,15004697000.0,7.49,7.46,359241000000.0,147957000000.0,35934000000.0,54697000000.0,39777000000.0,5718000000.0,49834000000.0,165631000000.0,20329000000.0,20329000000.0,13016000000.0,,285508000000.0,119877000000.0,78328000000.0,78328000000.0,98657000000.0,,,73733000000.0,73733000000.0,-14264000000.0,-17674000000.0,14773260000.0,111482000000.0,-12715000000.0,98767000000.0,11698000000.0,-25000000000.0,,-90711000000.0,-90711000000.0,12863000000.0,-15421000000.0,4481000000.0,-10932000000.0,2025-09-30,254.6300048828125,253.69287109375
AAPL,2024-09-30,2024,Apple Inc.,Technology,Consumer Electronics,NMS,USD,331.34,4835635625984,4882974638080,14594180000,139749097,2.97,0.0095999995,0.01648,0.66339993,7.36,9.58285,391035000000.0,210352000000.0,180683000000.0,123216000000.0,123216000000.0,134661000000.0,93736000000.0,123485000000.0,29749000000.0,0.241,93736000000.0,93736000000.0,26097000000.0,,15343783000.0,15408095000.0,6.11,6.08,364980000000.0,152987000000.0,29943000000.0,65171000000.0,33410000000.0,7286000000.0,45680000000.0,176392000000.0,20879000000.0,20879000000.0,26601000000.0,,308030000000.0,131638000000.0,85750000000.0,85750000000.0,106629000000.0,,,56950000000.0,56950000000.0,-19154000000.0,-23405000000.0,15116786000.0,118254000000.0,-9447000000.0,108807000000.0,11445000000.0,3651000000.0,,-94949000000.0,-94949000000.0,11688000000.0,-15234000000.0,0.0,-9958000000.0,2024-09-30,233.0,231.0670928955078
AAPL,2023-09-30,2023,Apple Inc.,Technology,Consumer Electronics,NMS,USD,331.34,4835635625984,4882974638080,14594180000,139749097,2.97,0.0095999995,0.01648,0.66339993,7.36,9.58285,383285000000.0,214137000000.0,169148000000.0,114301000000.0,114301000000.0,125820000000.0,96995000000.0,113736000000.0,16741000000.0,0.147,96995000000.0,96995000000.0,24932000000.0,3933000000.0,15744231000.0,15812547000.0,6.16,6.13,352583000000.0,143566000000.0,29965000000.0,61555000000.0,29508000000.0,6331000000.0,43715000000.0,145308000000.0,15807000000.0,15807000000.0,8819000000.0,,290437000000.0,145129000000.0,95281000000.0,95281000000.0,111088000000.0,,,62146000000.0,62146000000.0,-214000000.0,-1742000000.0,15550061000.0,110543000000.0,-10959000000.0,99584000000.0,11519000000.0,-6577000000.0,,-77550000000.0,-77550000000.0,10833000000.0,-15025000000.0,5228000000.0,-11151000000.0,2023-09-29,171.2100067138672,168.92526245117188
AAPL,2022-09-30,2022,Apple Inc.,Technology,Consumer Electronics,NMS,USD,331.34,4835635625984,4882974638080,14594180000,139749097,2.97,0.0095999995,0.01648,0.66339993,7.36,9.58285,394328000000.0,223546000000.0,170782000000.0,119437000000.0,119437000000.0,130541000000.0,99803000000.0,119103000000.0,19300000000.0,0.162,99803000000.0,99803000000.0,25094000000.0,2931000000.0,16215963000.0,16325819000.0,6.15,6.11,352755000000.0,135405000000.0,23646000000.0,48304000000.0,28184000000.0,4946000000.0,42117000000.0,153982000000.0,21110000000.0,22773000000.0,6552000000.0,,302083000000.0,148101000000.0,98959000000.0,109707000000.0,132480000000.0,,,50672000000.0,50672000000.0,-3068000000.0,-18577000000.0,15943425000.0,122151000000.0,-10708000000.0,111443000000.0,11104000000.0,1200000000.0,,-89402000000.0,-89402000000.0,9038000000.0,-14841000000.0,5465000000.0,-9543000000.0,2022-09-30,138.1999969482422,135.5515899658203
AAPL,2021-09-30,2021,Apple Inc.,Technology,Consumer Electronics,NMS,USD,331.34,4835635625984,4882974638080,14594180000,139749097,2.97,0.0095999995,0.01648,0.66339993,7.36,9.58285,,,,,,,,,,,,,,2645000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105000000.0,,,,,,,2021-09-30,141.5,138.0150146484375
ABBV,2025-12-31,2025,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYQ,USD,263.005,464760700928,526941290496,1767117285,19514024,4.0,0.0123000005,0.0011,0.77362,-3.359,16.27952,61160000000.0,18204000000.0,42956000000.0,9490000000.0,20091000000.0,17629000000.0,7481758981.355161,6597000000.0,2364000000.0,0.358345,4226000000.0,4233000000.0,14010000000.0,2893000000.0,1767876035.0,1773000000.0,2.390439,2.36,133960000000.0,29062000000.0,5229000000.0,5257000000.0,12589000000.0,4951000000.0,5628000000.0,43289000000.0,8555000000.0,8555000000.0,,,137188000000.0,93899000000.0,58941000000.0,58941000000.0,67496000000.0,,42000000.0,-3270000000.0,-3270000000.0,-15493000000.0,-14227000000.0,1767876035.0,19030000000.0,-1214000000.0,17816000000.0,8139000000.0,-2362000000.0,,-980000000.0,-980000000.0,955000000.0,-11657000000.0,9291000000.0,-9595000000.0,2025-12-31,228.49000549316406,223.2125244140625
ABBV,2024-12-31,2024,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYQ,USD,263.005,464760700928,526941290496,1767117285,19514024,4.0,0.0123000005,0.0011,0.77362,-3.359,16.27952,56334000000.0,16904000000.0,39430000000.0,6524000000.0,11894000000.0,14910000000.0,6343998600.0,3716000000.0,-570000000.0,0.2563,4278000000.0,4286000000.0,14752000000.0,2808000000.0,1765256986.0,1773000000.0,2.423443,2.39,135161000000.0,25582000000.0,5524000000.0,5555000000.0,10919000000.0,4181000000.0,5134000000.0,38749000000.0,6804000000.0,6804000000.0,,,131797000000.0,93048000000.0,60340000000.0,60340000000.0,67144000000.0,,39000000.0,3325000000.0,3325000000.0,-7900000000.0,-13167000000.0,1765256986.0,18806000000.0,-974000000.0,17832000000.0,8386000000.0,-2782000000.0,,-1708000000.0,-1708000000.0,911000000.0,-11025000000.0,21971000000.0,-14621000000.0,2024-12-31,177.6999969482422,167.73080444335938
ABBV,2023-12-31,2023,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYQ,USD,263.005,464760700928,526941290496,1767117285,19514024,4.0,0.0123000005,0.0011,0.77362,-3.359,16.27952,54318000000.0,20415000000.0,33903000000.0,8474000000.0,13535000000.0,17172000000.0,5583720000.0,6250000000.0,1377000000.0,0.22,4863000000.0,4873000000.0,12872000000.0,2224000000.0,1765940733.0,1773000000.0,2.753773,2.72,134711000000.0,33002000000.0,12814000000.0,12816000000.0,11155000000.0,4099000000.0,4989000000.0,37841000000.0,7191000000.0,7191000000.0,,,124314000000.0,86473000000.0,52194000000.0,52194000000.0,59385000000.0,,37000000.0,10360000000.0,10360000000.0,-1000000000.0,-4839000000.0,1765940733.0,22839000000.0,-777000000.0,22062000000.0,8698000000.0,2813000000.0,,-1972000000.0,-1972000000.0,747000000.0,-10539000000.0,0.0,-4149000000.0,2023-12-29,154.97000122070312,141.11740112304688
ABBV,2022-12-31,2022,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYQ,USD,263.005,464760700928,526941290496,1767117285,19514024,4.0,0.0123000005,0.0011,0.77362,-3.359,16.27952,58054000000.0,17414000000.0,40640000000.0,15707000000.0,18814000000.0,24174000000.0,12578755000.0,13477000000.0,1632000000.0,0.121,11836000000.0,11845000000.0,15260000000.0,2230000000.0,1769181294.0,1778000000.0,6.6901,6.63,138805000000.0,28463000000.0,9201000000.0,9229000000.0,11254000000.0,3579000000.0,4935000000.0,29538000000.0,4136000000.0,4136000000.0,,,121518000000.0,91980000000.0,59135000000.0,59135000000.0,63271000000.0,,33000000.0,17254000000.0,17254000000.0,4784000000.0,-1075000000.0,1769181294.0,24943000000.0,-695000000.0,24248000000.0,8467000000.0,-94000000.0,,-1487000000.0,-1487000000.0,671000000.0,-10043000000.0,2000000000.0,-14433000000.0,2022-12-30,161.61000061035156,141.4495849609375
ABBV,2021-12-31,2021,AbbVie Inc.,Healthcare,Drug Manufacturers - General,NYQ,USD,263.005,464760700928,526941290496,1767117285,19514024,4.0,0.0123000005,0.0011,0.77362,-3.359,16.27952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-31,135.39999389648438,114.06517791748047
